id,country_of_origin,farm_name,company,average_altitude_m,region,producer,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,overall,defects,total_cup_points,moisture_percentage,category_one_defects,quakers,color,category_two_defects
184,Brazil,Fazenda Olhos Dagua,Mr.Brown Cafe,950.0,Sul de Minas,Paulo Enidio Crabi,Catucai,Natural / Dry,7.42,7.5,7.58,7.33,7.33,7.25,10.0,7.33,0.0,81.75,11.1,0,0,yellow-green,0
185,Colombia,More than one,Mr.Brown Cafe,1574.0,Santander,More than one,Santander,Washed / Wet,7.33,7.5,7.33,7.42,7.42,7.42,10.0,7.33,0.0,81.75,11.2,0,0,yellow-green,0
186,Mexico,Finca San José,La Villa Coffee Company LLC,1200.0,"Coatepec, Veracruz",José Gerardo Gutierrez Morales,Typica,Washed / Wet,7.58,7.42,7.25,7.25,7.5,7.33,10.0,7.33,0.0,81.67,11.8,2,0,green,2
187,Costa Rica,HACIENDA SAN IGNACIO,Grupo ECOM,1200.0,occidente,FJO ORLICH HNO LTDA,Caturra,Washed / Wet,7.33,7.42,7.25,7.42,7.42,7.33,10.0,7.42,0.0,81.58,9.7,0,2,green,4
188,Taiwan,橫鹿,Taiwu Coffee Cooperative,300.0,新北市,呂星輝,Typica,Pulped natural / honey,7.42,7.5,7.33,7.33,7.33,7.33,10.0,7.33,0.0,81.58,9.0,0,0,yellow-green,0
189,Taiwan,大屯29莊園,Taiwu Coffee Cooperative,435.0,臺北市,侯奕瑋,no_record,Pulped natural / honey,7.33,7.5,7.42,7.33,7.33,7.25,10.0,7.33,0.0,81.5,8.5,0,0,green,0
190,Thailand,Doi Tung Development Project,Doi Tung Development Project,1400.0,North of Thailand,Doi Tung Development Project,Java,Washed / Wet,7.33,7.42,7.25,7.33,7.5,7.42,10.0,7.17,0.0,81.42,11.6,2,0,green,1
191,Thailand,Doi Lan,Taiwan Coffee Laboratory,1400.0,Chiang Rai,Prakol Saelee,Typica Bourbon Caturra Catimor,Natural / Dry,7.42,7.25,7.33,7.42,7.33,7.33,10.0,7.25,0.0,81.33,10.5,0,0,yellowish,5
192,Thailand,Doi Tung Development Project,Doi Tung Development Project,700.0,North of Thailand,Doi Tung Development Project,Catimor,Washed / Wet,7.25,7.25,7.42,7.25,7.42,7.42,10.0,7.17,0.0,81.17,10.4,0,0,green,0
193,Colombia,Escalera,Coffee Quality Union,1550.0,Cauca,Escalera,"Caturra,Colombia,Castillo",Washed / Wet,7.42,7.25,7.25,7.42,7.17,7.33,10.0,7.33,0.0,81.17,11.4,0,2,greenish,2
195,El Salvador,"Rosario de Maria II, Area de Loma Alta",Aprentium Enterprises LLC,1400.0,"Volcan Chinchontepek, San Vicente, El Salvador",Roselia Yglesias,Bourbon,Natural / Dry,7.42,7.33,7.33,7.5,7.08,7.0,10.0,7.17,0.0,80.83,10.5,0,8,bluish-green,7
197,Nicaragua,Sajonia Estate Coffee S.A.,SAJONIA ESTATE COFFEE S.A.,1000.0,Jinotega,Sajonia Estate Coffee S.A.,Sarchimor,Washed / Wet,7.42,7.17,7.0,7.08,7.42,7.17,10.0,7.17,0.0,80.42,11.2,0,0,green,5
198,Colombia,Finca Mallorca,Coffee Quality Union,1600.0,"Caicedonia,Valle del Cauca",Finca Mallorca,"Castillo,Caturra,Bourbon",Washed / Wet,7.25,7.25,7.17,7.33,7.0,7.17,10.0,7.25,0.0,80.42,11.0,0,3,greenish,3
199,Peru,Fundo La Libertad,Itochu Corporation,1600.0,"Chanchamayo, Lamerced",Sandro Crispin Espiritu,Caturra,Washed / Wet,7.5,7.25,7.17,7.17,7.17,7.08,10.0,7.0,0.0,80.33,11.8,0,6,greenish,11
200,El Salvador,"Rosario de Maria II, Area de Menjivar",Aprentium Enterprises LLC,1300.0,"Volcan Chinchontepek, San Vicente, El Salvador",Roselia Yglesias,Pacas,Natural / Dry,7.08,7.25,7.08,7.42,7.42,7.08,10.0,7.0,0.0,80.33,11.5,0,10,bluish-green,7
201,Brazil,Various farm,marubeni,1200.0,Alta Mogiana-Ibiraci,COCAPIL,Catuai and Mundo Novo,Natural / Dry,7.25,7.17,7.17,7.08,7.17,7.17,10.0,7.17,0.0,80.17,11.6,0,1,greenish,2
202,Brazil,Fazenda Conquista,Ipanema Coffees,950.0,Sul de Minas,Ipanema Coffees,Mundo Novo,Natural / Dry,7.17,7.17,6.92,7.17,7.42,7.17,10.0,7.08,0.0,80.08,11.4,0,0,green,4
203,Nicaragua,Finca San Felipe,Exportadora Atlantic S.A,1200.0,Matagalpa,Exportadora Atlantic S.A.,SHG,Natural / Dry,7.33,7.08,6.75,7.17,7.42,7.17,10.0,7.08,0.0,80.0,10.4,0,2,green,12
204,Laos,-,Marubeni Corporation,1300.0,Bolaven Plateau,"LAO MINH TIEN COFFEE SOLE CO.,LTD",Catimor,Washed / Wet,7.25,7.17,7.08,7.0,7.08,7.08,10.0,7.0,0.0,79.67,11.6,0,9,green,11
205,El Salvador,"Rosario de Maria II, Area de La Pila",Aprentium Enterprises LLC,1200.0,"Volcan de San Vicente, La Paz, El Salvador",Roselia Yglesias,Maragogype,Natural / Dry,6.5,6.75,6.75,7.17,7.08,7.0,10.0,6.83,0.0,78.08,11.0,0,12,bluish-green,13
206,Brazil,Walter Matter,Descafeinadores Mexicano SA. de CV,975.0,Minas Gerais,Walter Matter,Mundo Novo,SEMI-LAVADO,7.25,7.08,6.67,6.83,6.83,6.67,10.0,6.67,0.0,78.0,11.3,0,0,green,1
